Category,Subcategory,Product/Brand,Search Volume,Research Type,Price Point,Seasonality,Research Triggers
Skincare & Beauty,Sunscreen,Sunscreen,Very High,High-Involvement,All,Seasonal,"SPF rating, ingredients, skin type"
Skincare & Beauty,Acne Treatment,Glycolic Acid,High,High-Involvement,Mid,Year-round,"Concentration, skin sensitivity"
Skincare & Beauty,Moisturizers,Moisturizer,High,High-Involvement,All,Year-round,"Skin type compatibility, ingredients"
Health & Supplements,Vitamins,Magnesium,Very High,High-Involvement,Mid,Year-round,"Form, dosage, absorption"
Health & Supplements,Vitamins,Vitamin D,High,High-Involvement,Budget-Mid,Seasonal,"Dosage, form, deficiency"
Health & Supplements,Supplements,Creatine,High,High-Involvement,Mid,Year-round,"Purity, form, athletic performance"
Health & Supplements,Nootropics,Berberine,High,High-Involvement,Mid-Premium,Year-round,"Research, dosage, interactions"
Health & Supplements,Wellness,Collagen,High,High-Involvement,Premium,Year-round,"Source, peptide types, effectiveness"
Health & Supplements,Digestive Health,Probiotics,High,High-Involvement,Mid-Premium,Year-round,"Strain types, CFU count"
Health & Supplements,Sports Nutrition,Shilajit,Medium,High-Involvement,Premium,Year-round,"Purity, source, benefits"
Health & Supplements,Vitamins,Omega-3,High,High-Involvement,Mid,Year-round,"Source, purity, EPA/DHA ratio"
Health & Supplements,Minerals,Zinc,Medium,High-Involvement,Budget,Seasonal,"Form, dosage, immune support"
Health & Supplements,Sleep,Melatonin,High,High-Involvement,Budget,Year-round,"Dosage, time-release, interactions"
OTC Medications,Pain Relief,NyQuil,High,High-Involvement,Mid,Seasonal,"Active ingredients, interactions"
OTC Medications,Allergy,Claritin,High,High-Involvement,Mid,Seasonal,"Non-drowsy, effectiveness, interactions"
OTC Medications,Weight Management,Ozempic,Very High,High-Involvement,Premium,Year-round,"Prescription requirement, side effects"
OTC Medications,Pain Relief,Acetaminophen,Medium,High-Involvement,Budget,Year-round,"Dosage, liver safety, interactions"
OTC Medications,Digestive,Antacids,Medium,High-Involvement,Budget,Year-round,"Active ingredients, duration"
OTC Medications,Sleep Aid,Sleep aids,High,High-Involvement,Mid,Year-round,"Dependency risk, interactions"
OTC Medications,Allergy,Zyrtec,High,High-Involvement,Mid,Seasonal,"Drowsiness, effectiveness"
OTC Medications,Cold/Flu,DayQuil,High,High-Involvement,Mid,Seasonal,"Active ingredients, alertness"
Baby & Parenting,Feeding,Baby formula,Very High,High-Involvement,Premium,Year-round,"Nutrition, safety, pediatrician recommendation"
Baby & Parenting,Diapers,Pampers,High,High-Involvement,Mid-Premium,Year-round,"Absorption, fit, skin sensitivity"
Baby & Parenting,Diapers,Huggies,High,High-Involvement,Mid-Premium,Year-round,"Absorption, fit, value"
Baby & Parenting,Skincare,Baby skincare,High,High-Involvement,Premium,Year-round,"Gentle ingredients, pediatrician tested"
Baby & Parenting,Safety,Car seats,Very High,High-Involvement,Premium,Year-round,"Safety ratings, installation, growth"
Baby & Parenting,Feeding,Baby food,High,High-Involvement,Mid-Premium,Year-round,"Organic, nutrition, allergens"
Baby & Parenting,Sleep,Cribs,Very High,High-Involvement,Premium,Year-round,"Safety standards, durability, design"
Baby & Parenting,Gear,Strollers,Very High,High-Involvement,Premium,Year-round,"Safety, maneuverability, storage"
Fashion & Footwear,Footwear,Crocs,Very High,Medium-Involvement,Mid,Year-round,"Comfort, style, authenticity"
Fashion & Footwear,Athletic,Nike,Very High,Medium-Involvement,Mid-Premium,Year-round,"Performance, style, authenticity"
Fashion & Footwear,Athletic,On Cloud shoes,High,High-Involvement,Premium,Year-round,"Running performance, comfort"
Fashion & Footwear,Athletic,Air Jordan,High,High-Involvement,Premium,Seasonal,"Authenticity, resale value, style"
Fashion & Footwear,Casual,Allbirds,Medium,High-Involvement,Premium,Year-round,"Sustainability, comfort, materials"
Fashion & Footwear,Boots,Doc Martens,High,High-Involvement,Premium,Seasonal,"Durability, sizing, style"
Fashion & Footwear,Athletic,Yeezy,High,High-Involvement,Premium,Year-round,"Authenticity, resale value, availability"
Household,Laundry,Tide Pods,High,Medium-Involvement,Mid,Year-round,"Effectiveness, safety, value"
Household,Cleaning,Swiffer,Medium,Medium-Involvement,Mid,Year-round,"Effectiveness, replacement costs"
Household,Air Care,Air purifiers,High,High-Involvement,Premium,Seasonal,"HEPA efficiency, room size, noise"
Household,Kitchen,Instant Pot,High,High-Involvement,Mid-Premium,Seasonal,"Features, capacity, safety"
Household,Vacuum,Roomba,High,High-Involvement,Premium,Year-round,"Navigation, battery life, pet hair"
Household,Water,Water filters,High,High-Involvement,Mid-Premium,Year-round,"Filtration technology, replacement costs"
Household,Storage,Organization products,Medium,Medium-Involvement,Mid,Seasonal,"Durability, space efficiency"
Household,Kitchen,Air fryer,High,High-Involvement,Mid,Seasonal,"Capacity, features, counter space"
Hair Care,Treatment,Olaplex,Very High,High-Involvement,Premium,Year-round,"Hair damage repair, professional results"
Hair Care,Shampoo,TRESemmé,Medium,Medium-Involvement,Budget-Mid,Year-round,"Hair type compatibility, ingredients"
Hair Care,Styling,Hair tools,High,High-Involvement,Premium,Year-round,"Heat damage, results, durability"
Hair Care,Color,Hair dye,High,High-Involvement,Mid,Year-round,"Color results, hair damage, longevity"
Hair Care,Treatment,Hair masks,Medium,High-Involvement,Mid-Premium,Year-round,"Ingredients, hair type, results"
Trending,Drinkware,Stanley Cup,Very High,Medium-Involvement,Mid-Premium,Year-round,"Durability, insulation, trending status"
Trending,Toys,Squishmallows,High,Low-Medium,Mid,Seasonal,"Collectibility, authenticity, cuteness"
Trending,Beauty,Gua sha tools,Medium,High-Involvement,Budget-Mid,Year-round,"Material quality, technique, results"
Trending,Tech,LED light strips,High,Medium-Involvement,Budget-Mid,Year-round,"App control, color accuracy, installation"
Trending,Beverages,Celsius energy,High,High-Involvement,Mid,Year-round,"Ingredients, effectiveness, taste"
